Id	num	log(num+1)	Cate
PT_2181	769	2.886490725	Plasmids
PT_11519	6	0.84509804	Plasmids
PT_7341	5	0.77815125	Plasmids
PT_9235	5	0.77815125	Plasmids
PT_481	291	2.465382851	Plasmids
PT_9278	144	2.161368002	Plasmids
PT_11261	38	1.591064607	Plasmids
PT_10684	21	1.342422681	Plasmids
PT_12898	20	1.322219295	Plasmids
PT_6402	1	0.301029996	Plasmids
PT_447	1786	3.252124553	Plasmids
PT_2516	34	1.544068044	Plasmids
PT_10124	163	2.214843848	Plasmids
PT_7260	4	0.698970004	Plasmids
PT_8158	8	0.954242509	Plasmids
PT_16863	4	0.698970004	Plasmids
PT_2230	3	0.602059991	Plasmids
PT_13499	4	0.698970004	Plasmids
PT_23995	2	0.477121255	Plasmids
PT_1396	39	1.602059991	Plasmids
PT_11388	35	1.556302501	Plasmids
PT_8298	10	1.041392685	Plasmids
PT_19141	1	0.301029996	Plasmids
PT_18319	12	1.113943352	Plasmids
PT_998	3	0.602059991	Plasmids
PT_17219	10	1.041392685	Plasmids
PT_5738	7	0.903089987	Plasmids
PT_7756	4	0.698970004	Plasmids
PT_7781	16	1.230448921	Plasmids
PT_899	39	1.602059991	Plasmids
PT_8000	11	1.079181246	Plasmids
PT_7778	16	1.230448921	Plasmids
PT_7270	13	1.146128036	Plasmids
PT_4141	1	0.301029996	Plasmids
PT_10315	4	0.698970004	Plasmids
PT_6395	1085	3.035829825	Plasmids
PT_8699	1	0.301029996	Plasmids
PT_7078	2	0.477121255	Plasmids
PT_11058	2	0.477121255	Plasmids
PT_1401	11	1.079181246	Plasmids
PT_8839	2	0.477121255	Plasmids
PT_8102	4	0.698970004	Plasmids
PT_3420	172	2.238046103	Plasmids
PT_8247	14	1.176091259	Plasmids
PT_1365	32	1.51851394	Plasmids
PT_13219	19	1.301029996	Plasmids
PT_12730	2	0.477121255	Plasmids
PT_6793	21	1.342422681	Plasmids
PT_2297	3	0.602059991	Plasmids
PT_15014	11	1.079181246	Plasmids
PT_15643	6	0.84509804	Plasmids
PT_16317	1	0.301029996	Plasmids
PT_7194	3	0.602059991	Plasmids
PT_10059	72	1.86332286	Plasmids
PT_10324	13	1.146128036	Plasmids
PT_9005	11	1.079181246	Plasmids
PT_7271	15	1.204119983	Plasmids
PT_12409	8	0.954242509	Plasmids
PT_15389	24	1.397940009	Plasmids
PT_9427	8	0.954242509	Plasmids
PT_8561	7	0.903089987	Plasmids
PT_8659	98	1.995635195	Plasmids
PT_7842	4	0.698970004	Plasmids
PT_13397	207	2.318063335	Plasmids
